# German-English translations created from the Universal dictionary at 2011-03-25T01:53:34-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 evening ; eve ; even ; eventide 	 time 
 Abfall 	 waste ; waste material ; waste matter ; waste product 	 material 
 Abfrage ; Erkundigung ; Frage 	 question ; inquiry ; enquiry ; query ; interrogation 	 linguistics 
 Abkommen ; Vertrag 	 agreement ; understanding 	 business 
 Abnutzung 	 wear 	 abstract 
 Abstand ; Distanz ; Entfernung 	 distance 	 mathematics 
 Abteilung 	 department ; section 	 society 
 Abteilung 	 part ; section ; division 	 mathematics 
 Abteilung ; Sektion 	 section ; subdivision 	 mathematics 
 Abwechslung ; Abänderung ; Veränderung ; Wandel ; Wechsel 	 change ; alteration ; modification 	 abstract 
 Abweichung 	 deviation ; divergence ; departure ; difference 	 mathematics 
 Addition 	 summation ; addition ; plus 	 mathematics 
 Adjektiv 	 adjective 	 linguistics 
 Adresse 	 address 	 abstract 
 Affe 	 monkey 	 animal 
 Affäre ; Geschäft ; Sache 	 matter ; affair ; thing 	 abstract 
 Akt ; Tat 	 action 	 mathematics 
 Akteur ; Schauspieler 	 actor ; histrion ; player ; thespian ; role player 	 profession 
 Aktie 	 share 	 business 
 Aktivität 	 action ; activity ; activeness 	 mathematics 
 Alter 	 age 	 time 
 Alternative ; Mehrfachmöglichkeit 	 option ; alternative ; choice 	 abstract 
 Ameise 	 ant ; emmet ; pismire 	 animal 
 Andenken ; Erinnerung 	 memory 	 communication 
 Anfang ; Beginn 	 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 abstract 
 Anfangs... 	 inaugural ; initiative ; initiatory ; first ; maiden 	 adjective 
 Anforderung ; Bitte 	 request ; asking 	 communication 
 Angaben 	 data ; information 	 communication 
 Angebot ; Antrag 	 offer ; offering 	 abstract 
 Angriff ; Anfall ; Attacke 	 attack ; onslaught ; onset ; onrush 	 abstract 
 Angst ; Furcht 	 fear ; fearfulness ; fright 	 relations 
 Anklage ; Beanstandung ; Beschwerde ; Klage 	 charge ; complaint 	 society 
 Ankündigung ; Bekanntmachung ; Proklamation 	 announcement ; proclamation ; annunciation ; declaration 	 communication 
 Anmerkung ; Note ; Notiz 	 note ; annotation ; notation 	 communication 
 Anruf 	 call ; phone call ; telephone call 	 communication 
 Anschlussstück ; Stecker 	 connection ; connexion ; connector ; connecter ; connective 	 abstract 
 Anspruch 	 claim 	 society 
 Anstrengung ; Bemühung ; Mühe ; Versuch 	 attempt ; effort ; endeavor ; endeavour ; try 	 abstract 
 Anteil ; Teil ; Einzelteil 	 part ; portion ; component part ; component ; constituent 	 abstract 
 Antwort 	 answer ; reply ; response 	 communication 
 Anwendung ; Nutzung ; Verwendung 	 use ; usage ; utilization ; utilisation ; employment ; exercise 	 linguistics 
 Apfel 	 apple 	 food 
 Appartement ; Wohnung 	 apartment ; flat 	 society 
 April 	 April ; Apr 	 time 
 Arbeit 	 work 	 abstract 
 Arbeit 	 work ; piece of work 	 abstract 
 Arbeit ; Aufgabe 	 job ; task ; chore 	 business 
 Arbeit ; Beruf ; Job 	 occupation ; business ; job ; line of work ; line 	 business 
 Arbeiter 	 worker 	 profession 
 Argument 	 argument ; statement 	 communication 
 Arm 	 arm 	 anatomy 
 Armee 	 army ; regular army ; ground forces 	 society 
 Aroma ; Geruch 	 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 nature 
 Art ; Gattung 	 type 	 abstract 
 Art ; Gattung ; Sorte 	 kind ; sort ; form ; variety 	 abstract 
 Art ; Weise 	 manner ; mode ; style ; way ; fashion 	 mathematics 
 Art und Weise 	 means ; agency ; way 	 abstract 
 Artist 	 artist ; creative person 	 profession 
 Arzt ; Doktor 	 doctor ; doc ; physician ; MD ; Dr. ; medico 	 profession 
 Aspekt 	 aspect 	 abstract 
 Ast 	 branch 	 nature 
 Atem ; Atemzug ; Hauch 	 breath 	 anatomy 
 Aufmerksamkeit 	 attention ; attending 	 communication 
 Aufschrei ; Geschrei ; Ruf ; Schrei 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 Aufstieg 	 rise ; rising ; ascent ; ascension 	 abstract 
 Auftrag ; Befehl 	 order 	 society 
 Aufzug ; Fahrstuhl ; Lift 	 elevator ; lift 	 device 
 Auge 	 eye ; oculus ; optic 	 anatomy 
 Augenblick 	 moment ; minute ; second ; instant 	 mathematics 
 Ausbildung 	 training ; preparation ; grooming 	 abstract 
 Ausbildung ; Bildung 	 education 	 education 
 Ausbruch ; Eruption 	 outburst ; burst ; flare-up 	 abstract 
 Ausführung ; Marke 	 brand ; make 	 abstract 
 Ausgabe 	 issue ; number 	 mathematics 
 Aussage ; Behauptung 	 statement 	 communication 
 Ausschuss ; Komitee ; Kommission 	 committee ; commission 	 society 
 Aussprache 	 pronunciation 	 linguistics 
 Ausweis 	 pass ; laissez passer 	 object 
 Auszeichnung 	 award ; accolade ; honor ; honour ; laurels 	 society 
 Auto ; Kraftwagen ; Personenwagen ; Kraftfahrzeug ; Personenkraftwagen ; Pkw ; Automobil 	 car ; auto ; automobile ; machine ; motorcar 	 transport 
 Autobus ; Bus ; Omnibus 	 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 transport 
 Autorität ; Berechtigung ; Bevollmächtigung ; Ermächtigung 	 authority ; authorization ; authorisation ; potency ; dominance ; say-so 	 society 
 Baby 	 baby ; babe ; infant 	 family 
 Backofen ; Ofen 	 oven 	 device 
 Backstein ; Ziegel ; Ziegelstein 	 brick 	 house 
 Bad 	 bath 	 house 
 Ball 	 ball 	 object 
 Bank 	 depository financial institution ; bank ; banking concern ; banking company 	 city 
 Banknote 	 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 business 
 Baseball 	 baseball ; baseball game 	 sports 
 Basis ; Stützpunkt 	 base ; base of operations 	 society 
 Bau ; Bauwerk ; Gebäude 	 building ; edifice 	 city 
 Bauernhof 	 farm 	 nature 
 Baum 	 tree 	 house 
 Baumwolle 	 cotton 	 material 
 Baumwolle 	 cotton ; cotton fiber ; cotton wool 	 material 
 Beamter 	 officeholder ; officer 	 profession 
 Bedarf ; Bedürfnis 	 need ; demand 	 abstract 
 Behandlung 	 treatment ; handling 	 abstract 
 Behandlungsraum ; Krankenhaus 	 hospital ; infirmary 	 city 
 Behauptung 	 claim 	 communication 
 Bein 	 leg 	 anatomy 
 Beispiel 	 example ; illustration ; instance ; representative 	 communication 
 Bekämpfung ; Kampf ; Schlacht 	 fight ; fighting ; combat ; scrap 	 abstract 
 Belegschaft ; Personal ; Stab 	 staff 	 society 
 Belohnung 	 wages ; reward ; payoff 	 society 
 Benehmen ; Verhalten ; Aufführung ; Haltung 	 demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment 	 abstract 
 Benutzer 	 user 	 society 
 Bereich ; Region 	 region ; part 	 nature 
 Berg ; Gebirge 	 mountain ; mount 	 nature 
 Bergwerk 	 mine 	 object 
 Bericht 	 report ; study ; written report 	 abstract 
 Berührung 	 touch ; touching 	 abstract 
 Beschluss ; Entscheidung ; Entschluss ; Schlussfolgerung 	 decision ; determination ; conclusion 	 communication 
 Beschädigung ; Schaden 	 damage ; harm ; impairment 	 transport 
 Besitzer 	 owner ; possessor 	 business 
 Besteuerung ; Steuer 	 tax ; taxation ; revenue enhancement 	 business 
 Bestimmung 	 finish ; destination ; goal 	 abstract 
 Bestrafung ; Strafe 	 punishment ; penalty ; penalization ; penalisation 	 society 
 Betrieb 	 operation ; functioning ; performance 	 mathematics 
 Bett 	 bed 	 house 
 Beutel 	 bag 	 object 
 Bevölkerung 	 population 	 society 
 Bewegung 	 motion ; movement ; move ; motility 	 physics 
 Bewegung 	 movement ; motion 	 physics 
 Beweis 	 evidence 	 abstract 
 Bezahlung ; Zahlung 	 payment 	 business 
 Biene ; Honigbiene 	 bee 	 animal 
 Bier 	 beer 	 food 
 Bild 	 picture ; image ; icon ; ikon 	 art 
 Bildung ; Unterrichtswesen ; Pädagogik 	 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 education 
 Biologie 	 biology ; biological science 	 science 
 Biss 	 bite 	 medicine 
 Blatt ; Klinge 	 blade 	 object 
 Blatt ; Laub ; Laubwerk ; Blätter 	 leaf ; leafage ; foliage 	 nature 
 Blei 	 lead ; Pb ; atomic number 82 	 material 
 Bleistift 	 pencil 	 object 
 Blick 	 expression ; look ; aspect ; facial expression ; face 	 communication 
 Blume 	 flower 	 nature 
 Blut 	 blood 	 anatomy 
 Boden 	 land ; ground ; soil 	 material 
 Boden ; Erdboden ; Erde 	 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 nature 
 Boot 	 boat 	 object 
 Brand 	 fire 	 nature 
 Brett 	 board 	 object 
